delivery_type,phone_price,seller_customer_rating,seller_followers,seller_name,seller_quality_score,seller_score,seller_shipping_speed,units_left,verified_ratings,model_names
Jumia Global,210420.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 7
Jumia Nigeria,2850999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro
Jumia Nigeria,2020999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15
Jumia Nigeria,569999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 12
Jumia Nigeria,2100999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro
Jumia Global,130260.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 6
Jumia Global,394103.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone 11
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 11
Jumia Global,121910.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 6
Jumia Nigeria,1465999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 14
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 13
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,8 units left,0,iphone 11
Jumia Express,969000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,0,iphone 13 pro
Jumia Nigeria,1100999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 13
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 13
Jumia Nigeria,598000.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,999999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone se
Jumia Nigeria,790000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 13
Jumia Global,257682.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 8
Jumia Nigeria,880000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,5 units left,0,iphone 12 pro max
Jumia Nigeria,790000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,3 units left,0,iphone 13
